INDEX,YEAR,MN,DT,MAX,MIN,RF
42933,2016,7,31,32.3,25.0,0.0
42933,2016,8,1,30.7,23.7,14.4
42933,2016,8,2,29.4,23.6,10.7
42933,2016,8,3,29.6,23.4,33.0
42933,2016,8,4,27.1,23.5,28.9
42933,2016,8,5,32.2,24.0,0.9
42933,2016,8,6,32.2,25.1,0.0
42933,2016,8,7,30.2,24.0,11.3
42933,2016,8,8,30.6,23.5,0.0
42933,2016,8,9,30.9,24.0,0.0
42933,2016,8,10,32.7,24.2,0.1
42933,2016,8,11,31.1,23.9,0.6
42933,2016,8,12,32.6,24.0,3.8
42933,2016,8,13,32.0,24.4,0.9
42933,2016,8,14,30.2,24.0,0.0
42933,2016,8,15,31.4,23.1,0.4
42933,2016,8,16,31.9,23.4,0.0
42933,2016,8,17,32.6,22.4,0.0
42933,2016,8,18,32.0,23.0,0.0
42933,2016,8,19,33.2,23.2,0.0
42933,2016,8,20,31.9,24.3,0.0
42933,2016,8,21,29.6,23.0,1.6
42933,2016,8,22,31.1,22.5,0.0
42933,2016,8,23,32.1,24.6,0.0
42933,2016,8,24,31.6,22.0,19.6
42933,2016,8,25,32.5,23.8,0.0
42933,2016,8,26,33.0,24.1,0.0
42933,2016,8,27,33.5,25.0,0.0
42933,2016,8,28,33.7,25.1,0.6
42933,2016,8,29,35.1,25.5,0.0
42933,2016,8,30,34.0,25.5,0.0
42933,2016,8,31,33.4,24.0,2.0
42933,2016,9,1,31.6,23.7,5.3
42933,2016,9,2,30.5,24.0,0.0
42933,2016,9,3,32.6,23.6,0.0
42933,2016,9,4,32.8,23.0,0.0
42933,2016,9,5,32.5,22.5,2.6
42933,2016,9,6,32.1,22.4,0.0
42933,2016,9,7,32.2,22.0,0.0
42933,2016,9,8,32.5,22.5,0.0
42933,2016,9,9,31.5,23.5,2.6
42933,2016,9,10,32.1,24.0,0.0
42933,2016,9,11,33.1,23.5,0.0
42933,2016,9,12,32.9,24.5,0.0
42933,2016,9,13,31.2,24.7,0.0
42933,2016,9,14,32.5,23.5,3.0
42933,2016,9,15,32.6,23.6,22.6
42933,2016,9,16,33.3,23.6,13.2
42933,2016,9,17,32.2,23.0,25.4
42933,2016,9,18,31.4,23.9,25.8
42933,2016,9,19,32.3,24.5,0.0
